year,source,target,value
2022,Kelantan,25-29,532
2022,Kelantan,30-34,399
2022,Kelantan,35-39,421
2022,Kelantan,40-44,335
2022,Kelantan,45-49,259
2022,Kelantan,50-54,154
2022,Kelantan,55-59,94
2022,Kelantan,60-64,9
2022,Melaka,17-24,3285
2022,Melaka,25-29,996
2022,Melaka,30-34,678
2022,Melaka,35-39,609
2022,Melaka,40-44,472
2022,Melaka,45-49,292
2022,Melaka,50-54,235
2022,Melaka,55-59,134
2022,Melaka,60-64,21
2022,Melaka,other,2
2022,Negeri Sembilan,17-24,1461
2022,Negeri Sembilan,25-29,561
2022,Negeri Sembilan,30-34,411
2022,Negeri Sembilan,35-39,402
2022,Negeri Sembilan,40-44,314
2022,Negeri Sembilan,45-49,181
2022,Negeri Sembilan,50-54,134
2022,Negeri Sembilan,55-59,72
2022,Negeri Sembilan,60-64,4
2022,Pahang,17-24,3221
2022,Pahang,25-29,736
2022,Pahang,30-34,663
2022,Pahang,35-39,622
2022,Pahang,40-44,443
2022,Pahang,45-49,277
2022,Pahang,50-54,179
2022,Pahang,55-59,100
2022,Pahang,60-64,12
2022,Pahang,other,1
2022,Perak,17-24,5090
2022,Perak,25-29,1543
2022,Perak,30-34,1067
2022,Perak,35-39,1139
2022,Perak,40-44,785
2022,Perak,45-49,514
2022,Perak,50-54,435
2022,Perak,55-59,215
2022,Perak,60-64,15
2022,Pulau Pinang,17-24,2213
2022,Pulau Pinang,25-29,1398
2022,Pulau Pinang,30-34,1097
2022,Pulau Pinang,35-39,987
2022,Pulau Pinang,40-44,773
2022,Pulau Pinang,45-49,490
2022,Pulau Pinang,50-54,354
2022,Pulau Pinang,55-59,175
2022,Pulau Pinang,60-64,4
2022,Pulau Pinang,other,1
2022,Sabah,17-24,2692
2022,Sabah,25-29,1319
2022,Sabah,30-34,1177
2022,Sabah,35-39,1215
2022,Sabah,40-44,944
2022,Sabah,45-49,625
2022,Sabah,50-54,554
2022,Sabah,55-59,241
2022,Sabah,60-64,23
2022,Sabah,other,2
2022,Sarawak,17-24,1590
2022,Sarawak,25-29,904
2022,Sarawak,30-34,785
2022,Sarawak,35-39,704
2022,Sarawak,40-44,549
2022,Sarawak,45-49,358
2022,Sarawak,50-54,232
2022,Sarawak,55-59,138
2022,Sarawak,60-64,7
2022,Sarawak,other,1
2022,Selangor,17-24,1991
2022,Selangor,25-29,1106
2022,Selangor,30-34,804
2022,Selangor,35-39,730
2022,Selangor,40-44,644
2022,Selangor,45-49,405
2022,Selangor,50-54,274
2022,Selangor,55-59,117
2022,Selangor,60-64,5
2022,Terengganu,17-24,3147
2022,Terengganu,25-29,545
2022,Terengganu,30-34,393
2022,Terengganu,35-39,381
2022,Terengganu,40-44,351
2022,Terengganu,45-49,172
2022,Terengganu,50-54,139
2022,Terengganu,55-59,70
2022,Terengganu,60-64,8
2023,Johor,17-24,2689
2023,Johor,25-29,1748
2023,Johor,30-34,1476
2023,Johor,35-39,1307
2023,Johor,40-44,1078
2023,Johor,45-49,725
2023,Johor,50-54,609
2023,Johor,55-59,246
2023,Johor,60-64,23
2023,Johor,other,4
2023,Kedah,17-24,2766
2023,Kedah,25-29,482
2023,Kedah,30-34,378
2023,Kedah,35-39,371
2023,Kedah,40-44,330
2023,Kedah,45-49,188
2023,Kedah,50-54,142
2023,Kedah,55-59,70
2023,Kedah,60-64,1
2023,Kedah,other,1
2023,Kelantan,17-24,2538
2023,Kelantan,25-29,542
2023,Kelantan,30-34,392
2023,Kelantan,35-39,465
2023,Kelantan,40-44,367
2023,Kelantan,45-49,270
2023,Kelantan,50-54,177
2023,Kelantan,55-59,100
2023,Kelantan,60-64,8
2023,Kelantan,other,2
2023,Melaka,17-24,3321
2023,Melaka,25-29,801
2023,Melaka,30-34,588
2023,Melaka,35-39,447
2023,Melaka,40-44,352
2023,Melaka,45-49,258
2023,Melaka,50-54,177
2023,Melaka,55-59,70
2023,Melaka,60-64,8
2023,Negeri Sembilan,17-24,1311
2023,Negeri Sembilan,25-29,515
2023,Negeri Sembilan,30-34,386
2023,Negeri Sembilan,35-39,410
2023,Negeri Sembilan,40-44,312
2023,Negeri Sembilan,45-49,224
2023,Negeri Sembilan,50-54,132
2023,Negeri Sembilan,55-59,83
2023,Negeri Sembilan,60-64,3
2023,Pahang,17-24,2804
2023,Pahang,25-29,588
2023,Pahang,30-34,561
2023,Pahang,35-39,631
2023,Pahang,40-44,469
2023,Pahang,45-49,274
2023,Pahang,50-54,193
2023,Pahang,55-59,63
2023,Pahang,60-64,9
2023,Pahang,other,2
2023,Perak,17-24,5005
2023,Perak,25-29,1204
2023,Perak,30-34,815
2023,Perak,35-39,960
2023,Perak,40-44,699
2023,Perak,45-49,473
2023,Perak,50-54,370
2023,Perak,55-59,222
2023,Perak,60-64,13
2023,Pulau Pinang,17-24,2346
2023,Pulau Pinang,25-29,1592
2023,Pulau Pinang,30-34,1076
2023,Pulau Pinang,35-39,1005
2023,Pulau Pinang,40-44,748
2023,Pulau Pinang,45-49,528
2023,Pulau Pinang,50-54,382
2023,Pulau Pinang,55-59,163
2023,Pulau Pinang,60-64,7
2023,Sabah,17-24,2880
2023,Sabah,25-29,1304
2023,Sabah,30-34,1252
2023,Sabah,35-39,1257
2023,Sabah,40-44,1015
2023,Sabah,45-49,670
2023,Sabah,50-54,655
2023,Sabah,55-59,277
2023,Sabah,60-64,25
2023,Sabah,other,5
2023,Sarawak,17-24,1638
2023,Sarawak,25-29,923
2023,Sarawak,30-34,783
2023,Sarawak,35-39,759
2023,Sarawak,40-44,541
2023,Sarawak,45-49,381
2023,Sarawak,50-54,255
2023,Sarawak,55-59,155
2023,Sarawak,60-64,13
2023,Sarawak,other,1
2023,Selangor,17-24,1948
2023,Selangor,25-29,1201
2023,Selangor,30-34,876
2023,Selangor,35-39,740
2023,Selangor,40-44,620
2023,Selangor,45-49,429
2023,Selangor,50-54,270
2023,Selangor,55-59,129
2023,Selangor,60-64,7
2023,Selangor,other,2
2023,Terengganu,17-24,3536
2023,Terengganu,25-29,606
2023,Terengganu,30-34,412
2023,Terengganu,35-39,381
2023,Terengganu,40-44,322
2023,Terengganu,45-49,188
2023,Terengganu,50-54,110
2023,Terengganu,55-59,58
2023,Terengganu,60-64,6
2023,Terengganu,other,1
2024,Johor,17-24,2881
2024,Johor,25-29,1689
2024,Johor,30-34,1433
2024,Johor,35-39,1228
2024,Johor,40-44,1074
2024,Johor,45-49,715
2024,Johor,50-54,552
2024,Johor,55-59,333
2024,Johor,60-64,18
2024,Johor,other,2
2024,Kedah,17-24,2495
2024,Kedah,25-29,522
2024,Kedah,30-34,411
2024,Kedah,35-39,431
2024,Kedah,40-44,342
2024,Kedah,45-49,200
2024,Kedah,50-54,134
2024,Kedah,55-59,88
2024,Kedah,60-64,4
2024,Kedah,other,5
2024,Kelantan,17-24,2579
2024,Kelantan,25-29,610
2024,Kelantan,30-34,484
2024,Kelantan,35-39,462
2024,Kelantan,40-44,400
2024,Kelantan,45-49,226
2024,Kelantan,50-54,146
2024,Kelantan,55-59,110
2024,Kelantan,60-64,14
2024,Melaka,17-24,2808
2024,Melaka,25-29,803
2024,Melaka,30-34,561
2024,Melaka,35-39,505
2024,Melaka,40-44,446
2024,Melaka,45-49,255
2024,Melaka,50-54,165
2024,Melaka,55-59,100
2024,Melaka,60-64,15
2024,Negeri Sembilan,17-24,1538
2024,Negeri Sembilan,25-29,604
2024,Negeri Sembilan,30-34,417
2024,Negeri Sembilan,35-39,418
2024,Negeri Sembilan,40-44,304
2024,Negeri Sembilan,45-49,189
2024,Negeri Sembilan,50-54,113
2024,Negeri Sembilan,55-59,60
2024,Negeri Sembilan,60-64,3
2024,Pahang,17-24,2742
2024,Pahang,25-29,689
2024,Pahang,30-34,606
2024,Pahang,35-39,607
2024,Pahang,40-44,490
2024,Pahang,45-49,298
2024,Pahang,50-54,187
2024,Pahang,55-59,80
2024,Pahang,60-64,11
2024,Pahang,other,1
2024,Perak,17-24,4139
2024,Perak,25-29,1258
2024,Perak,30-34,978
2024,Perak,35-39,850
2024,Perak,40-44,789
2024,Perak,45-49,475
2024,Perak,50-54,324
2024,Perak,55-59,188
2024,Perak,60-64,10
2024,Pulau Pinang,17-24,2304
2024,Pulau Pinang,25-29,1533
2024,Pulau Pinang,30-34,1077
2024,Pulau Pinang,35-39,911
2024,Pulau Pinang,40-44,766
2024,Pulau Pinang,45-49,546
2024,Pulau Pinang,50-54,355
2024,Pulau Pinang,55-59,153
2024,Pulau Pinang,60-64,8
2024,Sabah,17-24,2603
2024,Sabah,25-29,1347
2024,Sabah,30-34,1269
2024,Sabah,35-39,1206
2024,Sabah,40-44,964
2024,Sabah,45-49,606
2024,Sabah,50-54,492
2024,Sabah,55-59,275
2024,Sabah,60-64,24
2024,Sabah,other,1
2024,Sarawak,17-24,1396
2024,Sarawak,25-29,838
2024,Sarawak,30-34,794
2024,Sarawak,35-39,648
2024,Sarawak,40-44,518
2024,Sarawak,45-49,418
2024,Sarawak,50-54,279
2024,Sarawak,55-59,155
2024,Sarawak,60-64,15
2024,Selangor,17-24,1991
2024,Selangor,25-29,1317
2024,Selangor,30-34,1013
2024,Selangor,35-39,817
2024,Selangor,40-44,655
2024,Selangor,45-49,445
2024,Selangor,50-54,285
2024,Selangor,55-59,156
2024,Selangor,60-64,5
2024,Selangor,other,1
2024,Terengganu,17-24,3171
2024,Terengganu,25-29,549
2024,Terengganu,30-34,439
2024,Terengganu,35-39,422
2024,Terengganu,40-44,342
2024,Terengganu,45-49,236
2024,Terengganu,50-54,127
2024,Terengganu,55-59,66
2024,Terengganu,60-64,8
