year,source,target,value
2010,Kelantan,other,40
2010,Melaka,17-24,6273
2010,Melaka,25-29,1485
2010,Melaka,30-34,985
2010,Melaka,35-39,802
2010,Melaka,40-44,653
2010,Melaka,45-49,481
2010,Melaka,50-54,282
2010,Melaka,55-59,131
2010,Melaka,60-64,16
2010,Melaka,other,9
2010,Negeri Sembilan,17-24,3637
2010,Negeri Sembilan,25-29,838
2010,Negeri Sembilan,30-34,601
2010,Negeri Sembilan,35-39,483
2010,Negeri Sembilan,40-44,283
2010,Negeri Sembilan,45-49,189
2010,Negeri Sembilan,50-54,104
2010,Negeri Sembilan,55-59,45
2010,Negeri Sembilan,60-64,2
2010,Pahang,17-24,1051
2010,Pahang,25-29,205
2010,Pahang,30-34,116
2010,Pahang,35-39,92
2010,Pahang,40-44,78
2010,Pahang,45-49,46
2010,Pahang,50-54,15
2010,Pahang,55-59,14
2010,Pahang,other,2
2010,Perak,17-24,8346
2010,Perak,25-29,1605
2010,Perak,30-34,1193
2010,Perak,35-39,1023
2010,Perak,40-44,822
2010,Perak,45-49,631
2010,Perak,50-54,319
2010,Perak,55-59,119
2010,Perak,60-64,6
2010,Perak,other,33
2010,Sabah,17-24,3741
2010,Sabah,25-29,1441
2010,Sabah,30-34,971
2010,Sabah,35-39,635
2010,Sabah,40-44,481
2010,Sabah,45-49,369
2010,Sabah,50-54,191
2010,Sabah,55-59,80
2010,Sabah,60-64,13
2010,Sabah,other,29
2010,Sarawak,17-24,2293
2010,Sarawak,25-29,911
2010,Sarawak,30-34,702
2010,Sarawak,35-39,674
2010,Sarawak,40-44,419
2010,Sarawak,45-49,362
2010,Sarawak,50-54,177
2010,Sarawak,55-59,61
2010,Sarawak,60-64,1
2010,Sarawak,other,5
2010,Selangor,17-24,4349
2010,Selangor,25-29,2200
2010,Selangor,30-34,1690
2010,Selangor,35-39,1277
2010,Selangor,40-44,1122
2010,Selangor,45-49,696
2010,Selangor,50-54,356
2010,Selangor,55-59,138
2010,Selangor,60-64,32
2010,Selangor,other,64
2010,Terengganu,17-24,4520
2010,Terengganu,25-29,650
2010,Terengganu,30-34,399
2010,Terengganu,35-39,255
2010,Terengganu,40-44,209
2010,Terengganu,45-49,143
2010,Terengganu,50-54,66
2010,Terengganu,55-59,18
2010,Terengganu,60-64,1
2010,Terengganu,other,6
2011,Johor,17-24,4682
2011,Johor,25-29,2618
2011,Johor,30-34,2057
2011,Johor,35-39,1670
2011,Johor,40-44,1270
2011,Johor,45-49,895
2011,Johor,50-54,455
2011,Johor,55-59,156
2011,Johor,60-64,12
2011,Johor,other,99
2011,Kedah,17-24,12906
2011,Kedah,25-29,2385
2011,Kedah,30-34,1569
2011,Kedah,35-39,1370
2011,Kedah,40-44,1120
2011,Kedah,45-49,780
2011,Kedah,50-54,517
2011,Kedah,55-59,182
2011,Kedah,60-64,16
2011,Kedah,other,20
2011,Kelantan,17-24,4108
2011,Kelantan,25-29,541
2011,Kelantan,30-34,313
2011,Kelantan,35-39,294
2011,Kelantan,40-44,242
